bar,open,close,low,high,volume,length,timestamp
309,94590.2,94604.6,94548.9,94604.6,10.694198,1846,2025-04-28
310,94604.5,94582.4,94571.4,94604.5,10.570009,942,2025-04-28
311,94579.9,94633.3,94579.9,94637.3,10.433843,835,2025-04-28
312,94633.3,94620.7,94620.7,94651.2,10.22147,573,2025-04-28
313,94620.4,94642.5,94615.2,94642.5,11.030282,489,2025-04-28
314,94642.5,94658.4,94642.5,94669.8,10.571137,1078,2025-04-28
315,94658.4,94629.0,94629.0,94681.12,10.563222,1000,2025-04-28
316,94628.9,94664.7,94608.8,94664.8,10.432608,826,2025-04-28
317,94664.7,94670.7,94651.3,94677.6,10.709382,768,2025-04-28
318,94670.7,94726.5,94670.7,94726.5,10.46567,1092,2025-04-28
319,94726.5,94726.7,94686.9,94741.7,10.638065,1136,2025-04-28
320,94726.6,94720.1,94718.7,94742.3,10.564736,907,2025-04-28
321,94720.1,94738.0,94700.8,94743.5,10.540692,746,2025-04-28
322,94738.1,94705.4,94702.3,94747.8,10.58361,1224,2025-04-28
323,94705.4,94710.2,94705.4,94727.3,10.554475,895,2025-04-28
324,94710.2,94659.4,94659.4,94710.2,10.365874,836,2025-04-28
325,94658.8,94671.4,94638.4,94676.4,10.753992,1112,2025-04-28
326,94671.4,94686.5,94614.7,94686.5,10.572917,1150,2025-04-28
327,94686.5,94766.4,94654.5,94766.5,10.551562,1612,2025-04-28
328,94766.4,94800.0,94752.6,94800.0,10.354337000000001,1218,2025-04-28
329,94800.0,94745.2,94734.1,94805.6,10.723538,1599,2025-04-28
330,94745.2,94734.5,94734.5,94745.2,8.770238,87,2025-04-28
331,94734.5,94707.0,94707.0,94734.5,12.195948,216,2025-04-28
332,94707.0,94710.1,94702.9,94734.6,10.732962,682,2025-04-28
333,94710.1,94715.1,94710.1,94729.9,10.56066,995,2025-04-28
334,94715.1,94660.6,94657.7,94715.1,10.261964,1273,2025-04-28
335,94660.6,94706.8,94653.8,94706.9,10.832652,1156,2025-04-28
336,94706.8,94653.4,94653.4,94707.0,10.547868,894,2025-04-28
337,94653.5,94688.5,94653.4,94696.6,10.580004,1055,2025-04-28
338,94688.5,94723.4,94686.5,94741.2,10.450629,1170,2025-04-28
339,94723.4,94740.5,94723.4,94742.9,10.68947,810,2025-04-28
340,94740.6,94731.4,94718.9,94745.9,10.503332,901,2025-04-28
341,94731.4,94810.5,94731.4,94821.7,10.585592,997,2025-04-28
342,94810.5,94699.2,94699.2,94810.7,10.44253,819,2025-04-28
343,94698.7,94630.6,94590.1,94698.7,10.597778,973,2025-04-28
344,94630.6,94627.7,94618.7,94639.4,10.660187,773,2025-04-28
345,94625.8,94663.1,94625.8,94692.9,10.557182000000001,836,2025-04-28
346,94663.1,94696.2,94663.1,94746.1,10.549054,1322,2025-04-28
347,94696.1,94729.7,94653.5,94729.7,10.488004,1569,2025-04-28
348,94729.7,94810.6,94729.7,94810.6,10.628641,810,2025-04-28
349,94810.5,94812.0,94790.8,94814.4,10.554765,744,2025-04-28
350,94812.0,94719.9,94717.0,94812.0,10.555826,1590,2025-04-28
351,94719.9,94717.5,94709.9,94741.2,10.541597,969,2025-04-28
352,94717.5,94764.2,94698.6,94764.2,10.4078,817,2025-04-28
353,94764.2,94826.4,94764.2,94826.5,10.607846,946,2025-04-28
354,94826.4,94775.6,94767.1,94829.3,10.653275,1077,2025-04-28
355,94775.6,94781.0,94760.7,94788.8,10.518993,980,2025-04-28
356,94781.0,94753.9,94751.0,94794.5,10.494302,754,2025-04-28
357,94753.9,94762.3,94721.6,94767.0,10.623268,1238,2025-04-28
358,94762.3,94716.6,94716.6,94773.6,10.190713,1001,2025-04-28
359,94716.6,94727.2,94704.6,94735.6,10.943493,1068,2025-04-28
360,94727.8,94782.1,94712.4,94782.1,10.554244,1026,2025-04-28
361,94782.0,94733.7,94730.7,94782.1,10.553417,1039,2025-04-28
362,94733.7,94734.5,94700.0,94747.3,10.522598,1194,2025-04-28
363,94734.5,94734.4,94734.4,94734.5,10.464177,31,2025-04-28
